date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:28:16	297436/297436	---M--	200	added ('OK')	image/png	etag:%22126012-489dc-49580a09f7580%22	http://marakana.com/bookshelf/java_fundamentals_tutorial/images/DecoratorPattern.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/java_fundamentals_tutorial/images/DecoratorPattern.png	(from http://marakana.com/bookshelf/java_fundamentals_tutorial/index.html)
20:28:31	632443/632443	---M--	200	added ('OK')	image/png	etag:%2212601c-9a67b-49580a09f7580%22	http://marakana.com/bookshelf/java_fundamentals_tutorial/images/JDBC-Drivers.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/java_fundamentals_tutorial/images/JDBC-Drivers.png	(from http://marakana.com/bookshelf/java_fundamentals_tutorial/index.html)
20:28:43	160192/160192	---M--	200	added ('OK')	image/png	etag:%2212602c-271c0-49580a09f7580%22	http://marakana.com/bookshelf/java_fundamentals_tutorial/images/StrategyPattern.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/java_fundamentals_tutorial/images/StrategyPattern.png	(from http://marakana.com/bookshelf/java_fundamentals_tutorial/index.html)
20:28:46	498054/498054	---M--	200	added ('OK')	image/png	etag:%2212600e-79986-49580a09f7580%22	http://marakana.com/bookshelf/java_fundamentals_tutorial/images/CompositeDesignPattern.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/java_fundamentals_tutorial/images/CompositeDesignPattern.png	(from http://marakana.com/bookshelf/java_fundamentals_tutorial/index.html)
20:28:47	336899/336899	---M--	200	added ('OK')	image/png	etag:%22126024-52403-49580a09f7580%22	http://marakana.com/bookshelf/java_fundamentals_tutorial/images/ObserverPattern.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/java_fundamentals_tutorial/images/ObserverPattern.png	(from http://marakana.com/bookshelf/java_fundamentals_tutorial/index.html)
20:28:48	5118/5118	---M--	200	added ('OK')	image/png	etag:%22cc31a-13fe-48b89cc3a5d00%22	http://marakana.com/bookshelf/selenium_tutorial/images/selenium-logo.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/selenium_tutorial/images/selenium-logo.png	(from http://marakana.com/bookshelf/selenium_tutorial/index.html)
20:28:49	4951/4951	---M--	200	added ('OK')	image/png	etag:%22cc319-1357-48b89cc3a5d00%22	http://marakana.com/bookshelf/selenium_tutorial/images/selenium-ide-logo.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/selenium_tutorial/images/selenium-ide-logo.png	(from http://marakana.com/bookshelf/selenium_tutorial/index.html)
20:28:51	5765/5765	---M--	200	added ('OK')	image/png	etag:%22cc31c-1685-48b89cc3a5d00%22	http://marakana.com/bookshelf/selenium_tutorial/images/selenium-rc-logo.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/selenium_tutorial/images/selenium-rc-logo.png	(from http://marakana.com/bookshelf/selenium_tutorial/index.html)
20:28:51	5302/5302	---M--	200	added ('OK')	image/png	etag:%22cc314-14b6-48b89cc3a5d00%22	http://marakana.com/bookshelf/selenium_tutorial/images/selenium-grid-logo.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/selenium_tutorial/images/selenium-grid-logo.png	(from http://marakana.com/bookshelf/selenium_tutorial/index.html)
20:28:52	5321/5321	---M--	200	added ('OK')	image/png	etag:%22cc31b-14c9-48b89cc3a5d00%22	http://marakana.com/bookshelf/selenium_tutorial/images/selenium-on-rails-logo.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/selenium_tutorial/images/selenium-on-rails-logo.png	(from http://marakana.com/bookshelf/selenium_tutorial/index.html)
20:28:53	5493/5493	---M--	200	added ('OK')	image/png	etag:%22cc313-1575-48b89cc3a5d00%22	http://marakana.com/bookshelf/selenium_tutorial/images/selenium-for-eclipse-logo.png	/home/atgadmin/websites/jboss_admin_tutorial/marakana.com/bookshelf/selenium_tutorial/images/selenium-for-eclipse-logo.png	(from http://marakana.com/bookshelf/selenium_tutorial/index.html)
